user_id,username,name,bio
0,user0,User0,Imported from Facebook dataset
1,user1,User1,Imported from Facebook dataset
2,user2,User2,Imported from Facebook dataset
3,user3,User3,Imported from Facebook dataset
4,user4,User4,Imported from Facebook dataset
5,user5,User5,Imported from Facebook dataset
6,user6,User6,Imported from Facebook dataset
7,user7,User7,Imported from Facebook dataset
8,user8,User8,Imported from Facebook dataset
9,user9,User9,Imported from Facebook dataset
10,user10,User10,Imported from Facebook dataset
11,user11,User11,Imported from Facebook dataset
12,user12,User12,Imported from Facebook dataset
13,user13,User13,Imported from Facebook dataset
14,user14,User14,Imported from Facebook dataset
15,user15,User15,Imported from Facebook dataset
16,user16,User16,Imported from Facebook dataset
17,user17,User17,Imported from Facebook dataset
18,user18,User18,Imported from Facebook dataset
19,user19,User19,Imported from Facebook dataset
20,user20,User20,Imported from Facebook dataset
21,user21,User21,Imported from Facebook dataset
22,user22,User22,Imported from Facebook dataset
23,user23,User23,Imported from Facebook dataset
24,user24,User24,Imported from Facebook dataset
25,user25,User25,Imported from Facebook dataset
26,user26,User26,Imported from Facebook dataset
27,user27,User27,Imported from Facebook dataset
28,user28,User28,Imported from Facebook dataset
29,user29,User29,Imported from Facebook dataset
30,user30,User30,Imported from Facebook dataset
31,user31,User31,Imported from Facebook dataset
32,user32,User32,Imported from Facebook dataset
33,user33,User33,Imported from Facebook dataset
34,user34,User34,Imported from Facebook dataset
35,user35,User35,Imported from Facebook dataset
36,user36,User36,Imported from Facebook dataset
37,user37,User37,Imported from Facebook dataset
38,user38,User38,Imported from Facebook dataset
39,user39,User39,Imported from Facebook dataset
40,user40,User40,Imported from Facebook dataset
41,user41,User41,Imported from Facebook dataset
42,user42,User42,Imported from Facebook dataset
43,user43,User43,Imported from Facebook dataset
44,user44,User44,Imported from Facebook dataset
45,user45,User45,Imported from Facebook dataset
46,user46,User46,Imported from Facebook dataset
47,user47,User47,Imported from Facebook dataset
48,user48,User48,Imported from Facebook dataset
49,user49,User49,Imported from Facebook dataset
50,user50,User50,Imported from Facebook dataset
51,user51,User51,Imported from Facebook dataset
52,user52,User52,Imported from Facebook dataset
53,user53,User53,Imported from Facebook dataset
